Position [m]	Sabre [mm/m]	Band width [mm]
14.14	0.35	12.01
14.16	0.34	12.01
14.19	0.34	12.01
14.21	0.33	12.02
14.23	0.34	12.02
14.26	0.34	12.01
14.28	0.32	12.02
14.31	0.32	12.02
14.33	0.33	12.01
14.36	0.33	12.01
14.38	0.32	12.01
14.40	0.32	12.01
14.43	0.32	12.01
14.45	0.32	12.02
14.48	0.32	12.01
14.50	0.32	12.01
14.53	0.32	12.02
14.55	0.32	12.01
14.58	0.32	12.01
14.60	0.32	12.02
14.62	0.31	12.02
14.65	0.32	12.02
14.67	0.31	12.02
14.70	0.32	12.01
14.72	0.32	12.01
14.75	0.30	12.02
14.77	0.30	12.01
14.79	0.31	12.01
14.82	0.32	12.02
14.84	0.32	12.01
14.87	0.32	12.01
14.89	0.31	12.02
14.92	0.32	12.01
14.94	0.32	12.02
14.96	0.32	12.01
14.99	0.32	12.01
15.01	0.32	12.01
15.04	0.32	12.01
15.06	0.33	12.02
15.09	0.32	12.01
15.11	0.32	12.01
15.13	0.32	12.01
15.16	0.32	12.01
15.18	0.34	12.01
15.21	0.33	12.01
15.23	0.32	12.02
15.26	0.32	12.02
15.28	0.33	12.02
15.30	0.33	12.02
15.33	0.33	12.01
15.35	0.32	12.01
15.38	0.32	12.01
15.40	0.34	12.01
15.43	0.34	12.01
15.45	0.33	12.02
15.47	0.32	12.02
15.50	0.32	12.01
15.52	0.32	12.02
15.55	0.33	12.02
15.57	0.34	12.01
15.60	0.34	12.01
15.62	0.32	12.02
15.64	0.32	12.01
15.67	0.34	12.01
15.69	0.33	12.01
15.72	0.33	12.01
15.74	0.32	12.01
15.77	0.33	12.01
15.79	0.34	12.01
15.81	0.34	12.02
15.84	0.34	12.01
15.86	0.32	12.01
15.89	0.32	12.02
15.91	0.32	12.02
15.94	0.34	12.02
15.96	0.34	12.01
15.98	0.34	12.01
16.01	0.33	12.01
16.03	0.34	12.01
16.06	0.34	12.01
16.08	0.34	12.01
16.11	0.33	12.01
16.13	0.33	12.01
16.15	0.34	12.01
16.18	0.34	12.01
16.20	0.33	12.01
16.23	0.34	12.01
16.25	0.34	12.01
16.28	0.34	12.01
16.30	0.34	12.01
16.32	0.34	12.02
16.35	0.35	12.01
16.37	0.34	12.01
16.40	0.34	12.01
16.42	0.34	12.01
16.45	0.35	12.01
16.47	0.34	12.01
16.49	0.34	12.01
16.52	0.35	12.01
16.54	0.34	12.02
16.57	0.35	12.01
16.59	0.34	12.01
16.62	0.34	12.01
16.64	0.34	12.01
16.66	0.34	12.01
16.69	0.36	12.02
16.71	0.36	12.02
16.74	0.36	12.02
16.76	0.35	12.01
16.79	0.35	12.02
16.81	0.36	12.01
16.83	0.36	12.01
16.86	0.35	12.02
16.88	0.36	12.01
16.91	0.37	12.01
16.93	0.36	12.02
16.96	0.37	12.01
16.98	0.37	12.02
17.00	0.37	12.01
17.03	0.37	12.02
17.05	0.37	12.02
17.08	0.38	12.01
17.10	0.38	12.01
17.13	0.37	12.02
17.15	0.37	12.02
17.17	0.38	12.02
17.20	0.37	12.02
17.22	0.37	12.02
17.25	0.37	12.02
17.27	0.38	12.01
17.30	0.38	12.01
17.32	0.38	12.01
17.34	0.37	12.02
17.37	0.37	12.02
17.39	0.36	12.01
17.42	0.37	12.02
17.44	0.38	12.02
17.47	0.38	12.01
17.49	0.38	12.01
17.51	0.37	12.02
17.54	0.37	12.01
17.56	0.38	12.01
17.59	0.37	12.02
17.61	0.37	12.02
17.64	0.38	12.01
17.66	0.36	12.02
17.68	0.37	12.02
17.71	0.37	12.02
17.73	0.37	12.02
17.76	0.37	12.02
17.78	0.35	12.02
17.81	0.36	12.02
17.83	0.37	12.01
17.85	0.37	12.02
17.88	0.37	12.02
17.90	0.37	12.02
17.93	0.36	12.01
17.95	0.35	12.02
17.98	0.35	12.02
18.00	0.36	12.02
18.02	0.37	12.02
