"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"03.02.2021 09:24:19,331" -5,636431 7,935887 2,800111 
"03.02.2021 09:24:19,457" -5,647724 7,935839 2,824610 
"03.02.2021 09:24:19,581" -5,652692 7,935844 2,848667 
"03.02.2021 09:24:19,707" -5,643898 7,935907 2,873096 
"03.02.2021 09:24:19,832" -5,638781 7,935972 2,897337 
"03.02.2021 09:24:19,957" -5,669380 7,935900 2,921732 
"03.02.2021 09:24:20,082" -5,647659 7,936008 2,946050 
"03.02.2021 09:24:20,207" -5,636468 7,935930 2,970434 
"03.02.2021 09:24:20,331" -5,646136 7,936087 2,994527 
"03.02.2021 09:24:20,457" -5,634267 7,936112 3,019026 
"03.02.2021 09:24:20,581" -5,651996 7,935952 3,043216 
"03.02.2021 09:24:20,707" -5,638808 7,935896 3,067714 
"03.02.2021 09:24:20,832" -5,610019 7,936073 3,091923 
"03.02.2021 09:24:20,957" -5,625956 7,936061 3,116080 
"03.02.2021 09:24:21,082" -5,666260 7,935944 3,140457 
"03.02.2021 09:24:21,207" -5,648123 7,935952 3,164748 
"03.02.2021 09:24:21,331" -5,632373 7,936019 3,188810 
"03.02.2021 09:24:21,457" -5,650352 7,935959 3,213329 
"03.02.2021 09:24:21,582" -5,634091 7,935918 3,237662 
"03.02.2021 09:24:21,707" -5,634202 7,935952 3,261968 
"03.02.2021 09:24:21,831" -5,630227 7,935961 3,286088 
"03.02.2021 09:24:21,957" -5,651578 7,935866 3,310627 
"03.02.2021 09:24:22,081" -5,634722 7,935920 3,334666 
"03.02.2021 09:24:22,207" -5,635382 7,935913 3,359047 
"03.02.2021 09:24:22,332" -5,626225 7,935989 3,383316 
"03.02.2021 09:24:22,457" -5,623597 7,936063 3,407489 
"03.02.2021 09:24:22,581" -5,637583 7,936037 3,431620 
"03.02.2021 09:24:22,707" -5,618480 7,935998 3,456130 
"03.02.2021 09:24:22,831" -5,625658 7,935863 3,480201 
"03.02.2021 09:24:22,957" -5,636236 7,935787 3,504611 
"03.02.2021 09:24:23,082" -5,674962 7,935827 3,528889 
"03.02.2021 09:24:23,207" -5,647872 7,935839 3,553147 
"03.02.2021 09:24:23,331" -5,660493 7,935878 3,577182 
"03.02.2021 09:24:23,457" -5,634704 7,935905 3,601651 
"03.02.2021 09:24:23,582" -5,618600 7,935759 3,625899 
"03.02.2021 09:24:23,706" -5,638762 7,935716 3,649898 
"03.02.2021 09:24:23,831" -5,637898 7,935712 3,674165 
"03.02.2021 09:24:23,957" -5,609824 7,935772 3,698701 
"03.02.2021 09:24:24,081" -5,647213 7,935865 3,722795 
"03.02.2021 09:24:24,206" -5,642393 7,935807 3,747094 
"03.02.2021 09:24:24,331" -5,632391 7,935865 3,771400 
"03.02.2021 09:24:24,456" -5,637072 7,935872 3,795662 
"03.02.2021 09:24:24,582" -5,608246 7,935944 3,820145 
"03.02.2021 09:24:24,707" -5,612480 7,935922 3,844429 
"03.02.2021 09:24:24,832" -5,633134 7,935917 3,868749 
"03.02.2021 09:24:24,957" -5,625454 7,935870 3,893027 
"03.02.2021 09:24:25,082" -5,628398 7,935876 3,917390 
"03.02.2021 09:24:25,207" -5,623420 7,935816 3,941757 
"03.02.2021 09:24:25,331" -5,626466 7,935930 3,965849 
"03.02.2021 09:24:25,457" -5,638065 7,935963 3,990402 
"03.02.2021 09:24:25,582" -5,626810 7,935844 4,014756 
"03.02.2021 09:24:25,706" -5,626726 7,935969 4,038875 
"03.02.2021 09:24:25,831" -5,633859 7,935924 4,063120 
"03.02.2021 09:24:25,956" -5,644826 7,936004 4,087389 
"03.02.2021 09:24:26,081" -5,633571 7,935957 4,111667 
"03.02.2021 09:24:26,207" -5,617263 7,936017 4,136111 
"03.02.2021 09:24:26,331" -5,634016 7,936021 4,160253 
