Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
-26.96					91.81	43.22	42.17
-26.89					92.16	43.21	42.17
-26.89					92.51	43.21	42.16
-26.82					92.85	43.21	42.16
-26.82					93.20	43.21	42.16
-26.75					93.55	43.20	42.15
-26.75					93.89	43.20	42.15
-26.68					94.24	43.19	42.14
-26.68					94.59	43.19	42.14
-26.61					94.93	43.18	42.13
-26.61					95.28	43.18	42.13
-26.55					95.63	43.17	42.13
-26.55					95.98	43.17	42.12
-26.48					96.32	43.17	42.12
-26.48					96.67	43.22	42.18
-26.41					97.02	43.22	42.17
-26.41					97.36	43.21	42.17
-26.34					97.71	43.21	42.16
-26.34					98.06	43.21	42.16
-26.27					98.40	43.20	42.16
-26.27					98.75	43.20	42.15
-26.20					99.10	43.20	42.15
-26.20					99.45	43.19	42.15
-26.13					99.79	43.19	42.14
-26.13					100.14	43.19	42.14
-26.07					100.49	43.19	42.13
-26.07					100.83	43.18	42.13
-26.00					101.18	43.18	42.13
-26.00					101.53	43.17	42.13
-25.93					101.87	43.17	42.12
-25.93					102.22	43.16	42.12
-25.86					102.57	43.22	42.18
-25.86					102.92	43.22	42.17
-25.79					103.26	43.22	42.17
-25.79					103.61	43.21	42.16
-25.72					103.96	43.21	42.16
-25.72					104.30	43.20	42.15
-25.65					104.65	43.20	42.15
-25.65					105.00	43.19	42.14
-25.59					105.34	43.19	42.14
-25.59					105.69	43.19	42.14
-25.52					106.04	43.19	42.14
-25.52					106.38	43.18	42.13
-25.45					106.73	43.17	42.13
-25.45					107.08	43.17	42.12
-25.38					107.43	43.17	42.12
-25.38					107.77	43.17	42.12
-25.31					108.12	43.23	42.12
-25.31					108.47	43.23	42.18
-25.24					108.81	43.23	42.18
-25.24					109.16	43.22	42.17
-25.17					109.51	43.22	42.17
-25.17					109.85	43.21	42.17
-25.11					110.20	43.21	42.16
-25.11					110.55	43.21	42.17
-25.04					110.90	43.20	42.16
-25.04					111.24	43.20	42.16
-24.97					111.59	43.20	42.15
-24.97					111.94	43.19	42.15
-24.90					112.28	43.19	42.14
-24.90					112.63	43.19	42.14
-24.83					112.98	43.18	42.13
-24.83					113.32	43.18	42.13
-24.76					113.67	43.24	42.19
-24.76					114.02	43.23	42.19
-24.69					114.37	43.23	42.18
-24.69					114.71	43.23	42.18
-24.63					115.06	43.22	42.17
-24.63					115.41	43.22	42.17
-24.56					115.75	43.22	42.17
-24.56					116.10	43.21	42.16
-24.49					116.45	43.21	42.16
-24.49					116.79	43.20	42.15
-24.42					117.14	43.20	42.15
-24.42					117.49	43.19	42.14
-24.35					117.83	43.19	42.13
-24.35					118.18	43.18	42.12
-24.28					118.53	43.17	42.11
-24.28					118.88	43.17	42.11
-24.21					119.22	43.16	42.10
-24.21					119.57	43.22	42.16
-24.14					119.92	43.21	42.15
-24.14					120.26	43.20	42.14
-24.08					120.61	43.20	42.13
-24.08					120.96	43.19	42.13
-24.01					121.30	43.18	42.12
-24.01					121.65	43.18	42.11
-23.94					122.00	43.17	42.10
-23.94					122.34	43.16	42.10
-23.87					122.69	43.16	42.09
-23.87					123.04	43.15	42.08
-23.80					123.39	43.14	42.07
-23.80					123.73	43.14	42.06
-23.73					124.08	43.13	42.06
-23.73					124.43	43.13	42.05
-23.66					124.77	43.18	42.10
-23.66					125.12	43.17	42.10
-23.60					125.47	43.17	42.09
-23.60					125.81	43.16	42.08
-23.53					126.16	43.16	42.08
-23.53					126.51	43.15	42.07
-23.46					126.85	43.15	42.07
-23.46					127.20	43.14	42.06
-23.39					127.55	43.14	42.06
-23.39					127.90	43.13	42.05
-23.32					128.24	43.13	42.05
-23.32					128.59	43.12	42.04
-23.25					128.94	43.12	42.04
-23.25					129.28	43.12	42.03
-23.18					129.63	43.11	42.02
-23.18					129.98	43.11	42.02
-23.12					130.32	43.11	42.01
-23.12					130.67	43.17	42.08
-23.05					131.02	43.16	42.08
-23.05					131.37	43.16	42.07
-22.98					131.71	43.16	42.07
-22.98					132.06	43.15	42.06
-22.91					132.41	43.15	42.06
-22.91					132.75	43.15	42.06
-22.84					133.10	43.15	42.05
-22.84					133.45	43.14	42.05
-22.77					133.79	43.14	42.04
-22.77					134.14	43.13	42.04
-22.70					134.49	43.13	42.03
-22.70					134.83	43.12	42.03
-22.64					135.18	43.12	42.03
-22.64					135.53	43.12	42.02
-22.57					135.88	43.17	42.08
-22.57					136.22	43.17	42.08
-22.50					136.57	43.16	42.07
-22.50					136.92	43.16	42.07
-22.43					137.26	43.16	42.07
-22.43					137.61	43.15	42.06
-22.36					137.96	43.15	42.06
-22.36					138.30	43.15	42.05
-22.29					138.65	43.15	42.05
-22.29					139.00	43.14	42.05
-22.22					139.35	43.14	42.04
-22.22					139.69	43.14	42.04
-22.16					140.04	43.13	42.04
-22.16					140.39	43.13	42.04
-22.09					140.73	43.13	42.03
-22.09					141.08	43.12	42.03
-22.02					141.43	43.12	42.03
-22.02					141.77	43.12	42.03
-21.95					142.12	43.18	42.08
-21.95					142.47	43.17	42.07
-21.88					142.81	43.17	42.08
-21.88					143.16	43.17	42.07
-21.81					143.51	43.16	42.07
-21.81					143.85	43.16	42.06
-21.74					144.20	43.16	42.06
-21.74					144.55	43.16	42.06
-21.68					144.90	43.15	42.06
-21.68					145.24	43.15	42.05
-21.61					145.59	43.15	42.05
-21.61					145.94	43.14	42.05
-21.54					146.28	43.14	42.05
-21.54					146.63	43.14	42.04
-21.47					146.98	43.14	42.04
-21.47					147.33	43.13	42.04
-21.40					147.67	43.19	42.03
-21.40					148.02	43.13	42.09
-21.33					148.37	43.18	42.09
-21.33					148.71	43.18	42.08
-21.26					149.06	43.18	42.08
-21.26					149.41	43.18	42.08
-21.19					149.75	43.17	42.08
-21.19					150.10	43.17	42.08
-21.13					150.45	43.17	42.08
-21.13					150.80	43.17	42.07
-21.06					151.14	43.17	42.07
-21.06					151.49	43.16	42.07
-20.99					151.84	43.16	42.07
-20.99					152.18	43.16	42.06
-20.92					152.53	43.16	42.06
-20.92					152.88	43.15	42.07
-20.85					153.23	43.15	42.06
-20.85					153.57	43.15	42.06
-20.78					153.92	43.15	42.06
-20.78					154.27	43.22	42.12
-20.71					154.61	43.21	42.12
-20.71					154.96	43.22	42.12
-20.65					155.31	43.22	42.12
